,0,1
11860,2016-04-29 23:31:10.422576904,
11861,2016-04-29 23:32:35.927795410,
11862,2016-04-30 00:32:21.626922607,
11863,2016-04-30 01:31:36.424163818,
11864,2016-04-30 01:32:52.728820801,
11865,2016-04-30 02:26:10.904296875,
11866,2016-04-30 02:27:40.209747314,
11867,2016-04-30 02:29:22.515991211,
11868,2016-04-30 02:35:11.737304688,
11869,2016-04-30 03:28:01.611053467,
11870,2016-04-30 03:28:47.713867188,
11871,2016-04-30 05:27:01.007354736,
11872,2016-04-30 05:32:25.327148438,
11873,2016-04-30 05:35:43.939270020,
11874,2016-04-30 06:28:50.114013672,
11875,2016-04-30 06:30:02.718444824,
11876,2016-04-30 06:30:03.518493652,
11877,2016-04-30 06:32:18.526733397,
11878,2016-04-30 08:30:59.521911621,
11879,2016-04-30 10:27:11.908020020,
11880,2016-04-30 10:32:09.726196289,
11881,2016-04-30 11:28:20.612213135,
11882,2016-04-30 11:31:03.222137451,
11883,2016-04-30 11:31:30.923828125,
11884,2016-04-30 12:29:14.515502930,
11885,2016-04-30 12:29:15.215545654,
11886,2016-04-30 12:30:12.819061279,
11887,2016-04-30 13:34:05.833282471,
11888,2016-04-30 14:29:32.116577148,
11889,2016-04-30 14:31:37.824249268,
11890,2016-04-30 14:32:40.228057861,
11891,2016-04-30 14:34:02.533081055,
11892,2016-04-30 14:36:24.941772461,
11893,2016-04-30 14:36:25.541809082,
11894,2016-04-30 15:26:08.704162598,
11895,2016-04-30 15:27:52.310485840,
11896,2016-04-30 15:29:34.416717529,
11897,2016-04-30 15:32:11.726318359,
11898,2016-04-30 15:36:12.741027832,
11899,2016-04-30 16:26:36.905883789,
11900,2016-04-30 16:34:05.033233643,
11901,2016-04-30 17:34:14.733825684,
11902,2016-04-30 18:30:15.619232178,
11903,2016-04-30 18:31:12.022674561,
11904,2016-04-30 19:27:30.909179688,
11905,2016-04-30 20:27:53.210540771,
11906,2016-04-30 21:32:57.229095459,
11907,2016-04-30 22:26:21.704956055,
11908,2016-04-30 22:35:31.738525391,
11909,2016-04-30 23:36:11.540954590,
11910,2016-05-01 00:27:01.707397461,
11911,2016-05-01 00:27:41.209808350,
11912,2016-05-01 00:33:24.430755615,
11913,2016-05-01 01:31:35.624114990,
11914,2016-05-01 01:35:11.137268066,
11915,2016-05-01 02:29:58.618194580,
11916,2016-05-01 02:33:37.631561279,
11917,2016-05-01 03:34:57.036407471,
11918,2016-05-01 03:34:58.236480713,
11919,2016-05-01 04:27:07.907775879,
11920,2016-05-01 04:28:04.211212158,
11921,2016-05-01 04:31:13.622772217,
11922,2016-05-01 04:32:16.326599121,
11923,2016-05-01 04:36:23.341674805,
11924,2016-05-01 04:36:24.441741943,
11925,2016-05-01 05:26:18.504760742,
11926,2016-05-01 05:29:59.218231201,
11927,2016-05-01 05:31:51.125061034,
11928,2016-05-01 05:34:02.133056641,
11929,2016-05-01 05:34:03.733154297,
11930,2016-05-01 06:25:38.302307129,
11931,2016-05-01 06:26:54.706970215,
11932,2016-05-01 06:28:48.913940430,
11933,2016-05-01 06:29:34.816741943,
11934,2016-05-01 06:30:33.320312500,
11935,2016-05-01 06:32:06.926025391,
11936,2016-05-01 06:34:50.636016846,
11937,2016-05-01 06:35:27.338256836,
11938,2016-05-01 06:35:32.538574219,
11939,2016-05-01 06:35:54.339904785,
11940,2016-05-01 06:36:20.241485596,
11941,2016-05-01 07:26:31.305541992,
11942,2016-05-01 07:26:32.205596924,
11943,2016-05-01 07:26:59.407257080,
11944,2016-05-01 07:27:01.007354736,
11945,2016-05-01 07:32:08.126098632,
11946,2016-05-01 08:28:48.813934326,
11947,2016-05-01 08:28:49.313964844,
11948,2016-05-01 08:32:14.426483154,
11949,2016-05-01 08:34:45.235687256,
11950,2016-05-01 09:26:26.605255127,
11951,2016-05-01 09:27:59.410919189,
11952,2016-05-01 09:28:00.610992432,
11953,2016-05-01 09:28:37.713256836,
11954,2016-05-01 09:32:05.025909424,
11955,2016-05-01 10:27:39.309692383,
11956,2016-05-01 10:28:41.813507080,
11957,2016-05-01 10:33:17.130310059,
11958,2016-05-01 11:31:45.224700928,
11959,2016-05-01 12:36:30.542114258,
11960,2016-05-01 12:36:30.842132568,
11961,2016-05-01 13:27:37.209564209,
11962,2016-05-01 13:33:21.830596924,
11963,2016-05-01 13:33:22.530639647,
11964,2016-05-01 14:27:27.408966064,
11965,2016-05-01 14:31:03.122131348,
11966,2016-05-01 15:28:10.411590576,
11967,2016-05-01 15:33:48.832244873,
11968,2016-05-01 15:35:25.138122559,
11969,2016-05-01 16:31:50.024993896,
11970,2016-05-01 16:32:31.127502441,
11971,2016-05-01 16:32:31.627532959,
11972,2016-05-01 16:32:32.327575684,
11973,2016-05-01 16:33:10.629913330,
11974,2016-05-01 16:33:11.029937744,
11975,2016-05-01 17:25:55.403350830,
11976,2016-05-01 17:27:22.108642578,
11977,2016-05-01 17:28:41.413482666,
11978,2016-05-01 17:35:03.936828613,
11979,2016-05-01 18:27:17.708374023,
11980,2016-05-01 18:27:25.908874512,
11981,2016-05-01 18:27:54.010589600,
11982,2016-05-01 18:28:53.714233398,
11983,2016-05-01 18:31:05.722290039,
11984,2016-05-01 18:34:54.636260986,
11985,2016-05-01 19:29:05.014923096,
